import time: self [us] | cumulative | imported package
import time:       416 |        657 |           tensorflow.core.framework
import time:       574 |        574 |                 binascii
import time:      1291 |       1865 |               zipfile
import time:       733 |        733 |               pkgutil
import time:       292 |        292 |                     xml
import time:       423 |        715 |                   xml.parsers
import time:       689 |        689 |                   pyexpat
import time:       412 |       1814 |                 xml.parsers.expat
import time:      2127 |       3941 |               plistlib
import time:       468 |        468 |                 email
import time:       729 |        729 |                   email.errors
import time:       546 |        546 |                       email.quoprimime
import time:       432 |        432 |                         base64
import time:       328 |        759 |                       email.base64mime
import time:       330 |        330 |                           quopri
import time:       270 |        599 |                         email.encoders
import time:       394 |        992 |                       email.charset
import time:      1403 |       3698 |                     email.header
import time:       967 |        967 |                         calendar
import time:       407 |       1373 |                       email._parseaddr
import time:       960 |       2333 |                     email.utils
import time:       625 |       6656 |                   email._policybase
import time:      1065 |       8449 |                 email.feedparser
import time:       603 |       9519 |               email.parser
import time:       507 |        507 |               pkg_resources.extern
import time:       237 |        237 |                   pkg_resources._vendor
import time:      1529 |       1765 |                 pkg_resources._vendor.six
import time:       281 |       2046 |               pkg_resources.extern.six
import time:      2381 |       2381 |                   pkg_resources._vendor.six
import time:       203 |       2583 |                 pkg_resources._vendor.six.moves
import time:       129 |       2712 |               pkg_resources.extern.six.moves
import time:        68 |         68 |                 pkg_resources._vendor.six.moves
import time:       160 |        228 |               pkg_resources._vendor.six.moves.urllib
import time:       317 |        317 |               pkg_resources.py31compat
import time:       396 |        396 |                 pkg_resources._vendor.appdirs
import time:       154 |        550 |               pkg_resources.extern.appdirs
import time:       338 |        338 |                   pkg_resources._vendor.packaging.__about__
import time:       325 |        663 |                 pkg_resources._vendor.packaging
import time:       155 |        818 |               pkg_resources.extern.packaging
import time:       393 |        393 |                 pkg_resources.extern.packaging._structures
import time:      3657 |       4049 |               pkg_resources.extern.packaging.version
import time:       260 |        260 |                 pkg_resources.extern.packaging._compat
import time:      8626 |       8885 |               pkg_resources.extern.packaging.specifiers
import time:       200 |        200 |                           org
import time:        66 |        265 |                         org.python
import time:        41 |        306 |                       org.python.core
import time:       526 |        832 |                     copy
import time:     19564 |      20396 |                   pkg_resources._vendor.pyparsing
import time:       218 |      20613 |                 pkg_resources.extern.pyparsing
import time:       126 |        126 |                 pkg_resources.extern.six.moves.urllib
import time:      2482 |       2482 |                 pkg_resources.extern.packaging.markers
